ปี,เดือน,ประเภทการทำการประมง,เครื่องมือ,ขนาดเรือ,พื้นที่ทำการประมง,ชนิดสัตว์น้ำ,ปริมาณ,มูลค่า
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,กุ้งอื่น ๆ,17.00,"1,474.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปูอื่น ๆ,5.00,690.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,สัตว์น้ำอื่น ๆ,2.00,162.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาทู,2.00,137.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาลัง,1.00,65.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาทูแขก,21.00,640.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาแข้งไก่,16.00,600.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาสีกุน,7.00,251.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาสีกุนตาโต,17.00,797.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาหลังเขียว,2.00,34.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลากะตัก,1.00,19.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาน้ำดอกไม้,19.00,"1,142.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาจวด,4.00,172.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาทรายแดง,318.00,"12,886.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อันดามัน,ปลาทรายขาว,22.00,717.00
